Normalized Velocity Angular,Cadence (RPM),Cadence Weighted (RPM),,,,,
-281.21,46.86833333,44.10742599,,,,,
-289.99,48.33166667,44.95227413,,,,,
-292.79,48.79833333,45.72148597,,,,,
-298.71,49.785,46.53418878,,,,,
-307.98,51.33,47.49335102,,,,,
-305.72,50.95333333,48.18534748,,,,,
-310.66,51.77666667,48.90361132,,,,,
-318.28,53.04666667,49.73222239,,,,,
-320.42,53.40333333,50.46644458,,,,,
-326.21,54.36833333,51.24682233,,,,,
-325.9,54.31666667,51.8607912,,,,,
-333.59,55.59833333,52.60829962,,,,,
-340.66,56.77666667,53.44197303,,,,,
-337.98,56.33,54.01957843,,,,,
-346.33,57.72166667,54.75999607,,,,,
-341.7,56.95,55.19799686,,,,,
-353.65,58.94166667,55.94673082,,,,,
-347.79,57.965,56.35038466,,,,,
-357,59.5,56.98030773,,,,,
-350.84,58.47333333,57.27891285,,,,,
-355.48,59.24666667,57.67246361,,,,,
-360.6,60.1,58.15797089,,,,,
-357.79,59.63166667,58.45271004,,,,,
-355.41,59.235,58.60916804,,,,,
-353.95,58.99166667,58.68566776,,,,,
-349.2,58.2,58.58853421,,,,,
-342,57,58.27082737,,,,,
-333.95,55.65833333,57.74832856,,,,,
-324.32,54.05333333,57.00932952,,,,,
-316.45,52.74166667,56.15579695,,,,,
-306.51,51.085,55.14163756,,,,,
-301.76,50.29333333,54.17197671,,,,,
-300.72,50.12,53.36158137,,,,,
-301.03,50.17166667,52.72359843,,,,,
-305.35,50.89166667,52.35721208,,,,,
-306.94,51.15666667,52.11710299,,,,,
-312.43,52.07166667,52.10801573,,,,,
-314.44,52.40666667,52.16774592,,,,,
-312.61,52.10166667,52.15453007,,,,,
-311.88,51.98,52.11962405,,,,,
-308.52,51.42,51.97969924,,,,,
-308.83,51.47166667,51.87809273,,,,,
-311.51,51.91833333,51.88614085,,,,,
-319.13,53.18833333,52.14657935,,,,,
-329.62,54.93666667,52.70459681,,,,,
-342.43,57.07166667,53.57801078,,,,,
-360.9,60.15,54.89240862,,,,,
-375.35,62.55833333,56.42559357,,,,,
-392.73,65.455,58.23147485,,,,,
-404.32,67.38666667,60.06251322,,,,,
-414.93,69.155,61.88101057,,,,,
-418.1,69.68333333,63.44147512,,,,,
-419.19,69.865,64.7261801,,,,,
-414.13,69.02166667,65.58527741,,,,,
-408.71,68.11833333,66.0918886,,,,,
-407.12,67.85333333,66.44417754,,,,,
-400.29,66.715,66.49834204,,,,,
-396.45,66.075,66.41367363,,,,,
-392.43,65.405,66.2119389,,,,,
-391.88,65.31333333,66.03221779,,,,,
-387.98,64.66333333,65.7584409,,,,,
-391.09,65.18166667,65.64308605,,,,,
-392.12,65.35333333,65.58513551,,,,,
-396.02,66.00333333,65.66877507,,,,,
-393.65,65.60833333,65.65668673,,,,,
-341.63,56.93833333,63.91301605,,,,,
-354.93,59.155,62.96141284,,,,,
-357.43,59.57166667,62.2834636,,,,,
-355.54,59.25666667,61.67810422,,,,,
-353.4,58.9,61.12248337,,,,,
-352.49,58.74833333,60.64765336,,,,,
-356.21,59.36833333,60.39178936,,,,,
-357.98,59.66333333,60.24609815,,,,,
-362.3,60.38333333,60.27354519,,,,,
-368.52,61.42,60.50283615,,,,,
-377.3,62.88333333,60.97893559,,,,,
-375.72,62.62,61.30714847,,,,,
-361.27,60.21166667,61.08805211,,,,,
-371.63,61.93833333,61.25810835,,,,,
-369.62,61.60333333,61.32715335,,,,,
-374.26,62.37666667,61.53705601,,,,,
-377.61,62.935,61.81664481,,,,,
-380.17,63.36166667,62.12564918,,,,,
-379.74,63.29,62.35851935,,,,,
-385.48,64.24666667,62.73614881,,,,,
-388.1,64.68333333,63.12558571,,,,,
-392.18,65.36333333,63.57313524,,,,,
-391.82,65.30333333,63.91917486,,,,,
-398.16,66.36,64.40733989,,,,,
-397.18,66.19666667,64.76520524,,,,,
-400.11,66.685,65.14916419,,,,,
-404.19,67.365,65.59233135,,,,,
-402.37,67.06166667,65.88619842,,,,,
-406.02,67.67,66.24295873,,,,,
-410.05,68.34166667,66.66270032,,,,,
-409.19,68.19833333,66.96982692,,,,,
-414.99,69.165,67.40886154,,,,,
-410.05,68.34166667,67.59542256,,,,,
-409.38,68.23,67.72233805,,,,,
-414.99,69.165,68.01087044,,,,,
-413.46,68.91,68.19069635,,,,,
-415.78,69.29666667,68.41189042,,,,,
-409.56,68.26,68.38151233,,,,,
-408.34,68.05666667,68.3165432,,,,,
-409.99,68.33166667,68.31956789,,,,,
-410.11,68.35166667,68.32598765,,,,,
-412.79,68.79833333,68.42045678,,,,,
-412.67,68.77833333,68.49203209,,,,,
-415.66,69.27666667,68.64895901,,,,,
-413.83,68.97166667,68.71350054,,,,,
-415.05,69.175,68.80580043,,,,,
-415.66,69.27666667,68.89997368,,,,,
-419.5,69.91666667,69.10331228,,,,,
-425.96,70.99333333,69.48131649,,,,,
-433.4,72.23333333,70.03171986,,,,,
-428.28,71.38,70.30137589,,,,,
-409.74,68.29,69.89910071,,,,,
-420.17,70.02833333,69.92494723,,,,,
-418.22,69.70333333,69.88062445,,,,,
-424.56,70.76,70.05649956,,,,,
-413.52,68.92,69.82919965,,,,,
-422.43,70.405,69.94435972,,,,,
-429.74,71.62333333,70.28015444,,,,,
-424.62,70.77,70.37812355,,,,,
-424.5,70.75,70.45249884,,,,,
-423.46,70.57666667,70.47733241,,,,,
-424.44,70.74,70.52986593,,,,,
-419.8,69.96666667,70.41722607,,,,,
-416.45,69.40833333,70.21544753,,,,,
-412.67,68.77833333,69.92802469,,,,,
-410.29,68.38166667,69.61875308,,,,,
-414.56,69.09333333,69.51366913,,,,,
-414.99,69.165,69.44393531,,,,,
-418.58,69.76333333,69.50781491,,,,,
-421.69,70.28166667,69.66258526,,,,,
-428.28,71.38,70.00606821,,,,,
-432,72,70.40485457,,,,,
-439.8,73.3,70.98388365,,,,,
-447.18,74.53,71.69310692,,,,,
-454.13,75.68833333,72.49215221,,,,,
-461.51,76.91833333,73.37738843,,,,,
-438.52,73.08666667,73.31924408,,,,,
-424.38,70.73,72.80139526,,,,,
-431.94,71.99,72.63911621,,,,,
-441.69,73.615,72.83429297,,,,,
-438.28,73.04666667,72.87676771,,,,,
-437.12,72.85333333,72.87208083,,,,,
-451.15,75.19166667,73.335998,,,,,
-441.21,73.535,73.3757984,,,,,
-443.28,73.88,73.47663872,,,,,
-454.56,75.76,73.93331098,,,,,
-453.65,75.60833333,74.26831545,,,,,
-454.38,75.73,74.56065236,,,,,
-457.97,76.32833333,74.91418855,,,,,
-461.94,76.99,75.32935084,,,,,
-457.24,76.20666667,75.50481401,,,,,
-455.72,75.95333333,75.59451787,,,,,
-458.04,76.34,75.7436143,,,,,
-455.9,75.98333333,75.79155811,,,,,
-452.24,75.37333333,75.70791315,,,,,
-448.65,74.775,75.52133052,,,,,
-441.39,73.565,75.13006442,,,,,
-435.47,72.57833333,74.6197182,,,,,
-427.06,71.17666667,73.93110789,,,,,
-421.63,70.27166667,73.19921965,,,,,
-419.87,69.97833333,72.55504238,,,,,
-418.95,69.825,72.00903391,,,,,
-417.73,69.62166667,71.53156046,,,,,
-412.79,68.79833333,70.98491503,,,,,
-407.67,67.945,70.37693203,,,,,
-398.4,66.4,69.58154562,,,,,
-390.72,65.12,68.6892365,,,,,
-380.23,63.37166667,67.62572253,,,,,
-373.83,62.305,66.56157803,,,,,
-364.68,60.78,65.40526242,,,,,
-360.72,60.12,64.34820994,,,,,
-353.16,58.86,63.25056795,,,,,
-349.56,58.26,62.25245436,,,,,
-343.71,57.285,61.25896349,,,,,
-341.76,56.96,60.39917079,,,,,
-341.51,56.91833333,59.7030033,,,,,
-344.5,57.41666667,59.24573597,,,,,
-352.24,58.70666667,59.13792211,,,,,
-359.07,59.845,59.27933769,,,,,
-371.09,61.84833333,59.79313682,,,,,
-380.78,63.46333333,60.52717612,,,,,
-392.55,65.425,61.5067409,,,,,
-398.22,66.37,62.47939272,,,,,
-403.83,67.305,63.44451417,,,,,
-405.05,67.50833333,64.25727801,,,,,
-404.99,67.49833333,64.90548907,,,,,
-403.58,67.26333333,65.37705792,,,,,
-401.69,66.94833333,65.69131301,,,,,
-401.88,66.98,65.9490504,,,,,
-401.63,66.93833333,66.14690699,,,,,
-406.33,67.72166667,66.46185893,,,,,
-409.74,68.29,66.82748714,,,,,
-420.17,70.02833333,67.46765638,,,,,
-428.04,71.34,68.2421251,,,,,
-436.15,72.69166667,69.13203342,,,,,
-439.13,73.18833333,69.9432934,,,,,
-439.87,73.31166667,70.61696805,,,,,
-443.58,73.93,71.27957444,,,,,
-446.76,74.46,71.91565955,,,,,
-454.62,75.77,72.68652764,,,,,
-459.62,76.60333333,73.46988878,,,,,
-466.08,77.68,74.31191102,,,,,
-473.52,78.92,75.23352882,,,,,
-478.71,79.785,76.14382306,,,,,
-483.65,80.60833333,77.03672511,,,,,
-481.45,80.24166667,77.67771342,,,,,
-471.94,78.65666667,77.87350407,,,,,
-462.36,77.06,77.71080326,,,,,
-455.41,75.90166667,77.34897594,,,,,
-452.43,75.405,76.96018075,,,,,
-452.06,75.34333333,76.63681127,,,,,
-451.57,75.26166667,76.36178235,,,,,
-411.33,68.555,74.80042588,,,,,
-448.34,74.72333333,74.78500737,,,,,
-449.19,74.865,74.8010059,,,,,
-448.71,74.785,74.79780472,,,,,
-446.94,74.49,74.73624377,,,,,
-445.47,74.245,74.63799502,,,,,
-438.83,73.13833333,74.33806268,,,,,
-432.67,72.11166667,73.89278348,,,,,
-425.72,70.95333333,73.30489345,,,,,
-420.6,70.1,72.66391476,,,,,
-417.24,69.54,72.03913181,,,,,
-411.69,68.615,71.35430545,,,,,
-409.74,68.29,70.74144436,,,,,
-404.62,67.43666667,70.08048882,,,,,
-402.37,67.06166667,69.47672439,,,,,
-396.27,66.045,68.79037951,,,,,
-391.45,65.24166667,68.08063694,,,,,
-385.11,64.185,67.30150955,,,,,
-380.6,63.43333333,66.52787431,,,,,
-372.18,62.03,65.62829945,,,,,
-366.15,61.025,64.70763956,,,,,
-358.34,59.72333333,63.71077831,,,,,
-352.91,58.81833333,62.73228932,,,,,
-345.05,57.50833333,61.68749812,,,,,
-340.6,56.76666667,60.70333183,,,,,
-335.23,55.87166667,59.7369988,,,,,
-333.4,55.56666667,58.90293237,,,,,
-332.98,55.49666667,58.22167923,,,,,
-333.1,55.51666667,57.68067672,,,,,
-335.78,55.96333333,57.33720804,,,,,
-336.33,56.055,57.08076643,,,,,
-341.39,56.89833333,57.04427981,,,,,
-345.6,57.6,57.15542385,,,,,
-352.79,58.79833333,57.48400575,,,,,
-359.32,59.88666667,57.96453793,,,,,
-369.99,61.665,58.70463034,,,,,
-377.73,62.955,59.55470428,,,,,
-386.82,64.47,60.53776342,,,,,
-390.66,65.11,61.45221074,,,,,
-395.05,65.84166667,62.33010192,,,,,
-390.6,65.1,62.88408154,,,,,
-387.37,64.56166667,63.21959856,,,,,
-382.61,63.76833333,63.32934552,,,,,
-382.67,63.77833333,63.41914308,,,,,
-382.06,63.67666667,63.4706478,,,,,
-387.06,64.51,63.67851824,,,,,
-390.17,65.02833333,63.94848126,,,,,
-395.17,65.86166667,64.33111834,,,,,
-394.38,65.73,64.61089467,,,,,
-398.65,66.44166667,64.97704907,,,,,
-403.04,67.17333333,65.41630592,,,,,
-414.26,69.04333333,66.14171141,,,,,
-423.4,70.56666667,67.02670246,,,,,
-430.35,71.725,67.96636197,,,,,
-434.32,72.38666667,68.85042291,,,,,
-435.05,72.50833333,69.58200499,,,,,
-435.84,72.64,70.19360399,,,,,
-435.9,72.65,70.68488319,,,,,
-437.37,72.895,71.12690656,,,,,
-439.56,73.26,71.55352524,,,,,
-443.1,73.85,72.0128202,,,,,
-448.04,74.67333333,72.54492282,,,,,
-446.63,74.43833333,72.92360493,,,,,
-446.08,74.34666667,73.20821727,,,,,
-443.16,73.86,73.33857382,,,,,
-441.02,73.50333333,73.37152572,,,,,
-441.27,73.545,73.40622058,,,,,
-440.54,73.42333333,73.40964313,,,,,
-443.22,73.87,73.5017145,,,,,
-443.4,73.9,73.5813716,,,,,
-446.39,74.39833333,73.74476395,,,,,
-450.29,75.04833333,74.00547783,,,,,
-452.49,75.415,74.28738226,,,,,
-455.54,75.92333333,74.61457247,,,,,
-454.38,75.73,74.83765798,,,,,
-453.71,75.61833333,74.99379305,,,,,
-450.72,75.12,75.01903444,,,,,
-447.73,74.62166667,74.93956089,,,,,
-447.18,74.53,74.85764871,,,,,
-442.97,73.82833333,74.65178563,,,,,
-441.88,73.64666667,74.45076184,,,,,
-438.95,73.15833333,74.19227614,,,,,
-434.99,72.49833333,73.85348758,,,,,
-429.99,71.665,73.41579006,,,,,
-423.22,70.53666667,72.83996538,,,,,
-418.16,69.69333333,72.21063897,,,,,
-410.35,68.39166667,71.44684451,,,,,
-403.58,67.26333333,70.61014228,,,,,
-395.72,65.95333333,69.67878049,,,,,
-390.84,65.14,68.77102439,,,,,
-382.67,63.77833333,67.77248618,,,,,
-375.96,62.66,66.74998894,,,,,
-367.06,61.17666667,65.63532449,,,,,
-360.96,60.16,64.54025959,,,,,
-354.13,59.02166667,63.43654101,,,,,
-351.45,58.575,62.4642328,,,,,
-347.73,57.955,61.56238624,,,,,
-347.79,57.965,60.84290899,,,,,
-346.82,57.80333333,60.23499386,,,,,
-349.44,58.24,59.83599509,,,,,
-354.2,59.03333333,59.67546274,,,,,
-359.93,59.98833333,59.73803686,,,,,
-367.24,61.20666667,60.03176282,,,,,
-373.59,62.265,60.47841026,,,,,
-378.52,63.08666667,61.00006154,,,,,
-379.01,63.16833333,61.4337159,,,,,
-377.37,62.895,61.72597272,,,,,
-374.5,62.41666667,61.86411151,,,,,
-373.28,62.21333333,61.93395587,,,,,
-368.34,61.39,61.8251647,,,,,
-363.52,60.58666667,61.57746509,,,,,
-353.77,58.96166667,61.05430541,,,,,
-337.55,56.25833333,60.09511099,,,,,
-333.65,55.60833333,59.19775546,,,,,
-317.31,52.885,57.93520437,,,,,
-263.89,43.98166667,55.14449683,,,,,
-230.17,38.36166667,51.7879308,,,,,
-177.37,29.56166667,47.34267797,,,,,
-152.98,25.49666667,42.97347571,,,,,
-150.66,25.11,39.40078057,,,,,
-155.23,25.87166667,36.69495779,,,,,
-150.29,25.04833333,34.3656329,,,,,
-121.39,20.23166667,31.53883965,,,,,
-92.67,15.445,28.32007172,,,,,
-72.49,12.08166667,25.07239071,,,,,
-54.56,9.093333333,21.87657923,,,,,
-39.93,6.655,18.83226339,,,,,
-26.88,4.48,15.96181071,,,,,
-12.06,2.01,13.17144857,,,,,
0,0,10.53715885,,,,,
7.75,-1.291666667,8.17139375,,,,,
11.29,-1.881666667,6.160781667,,,,,
11.17,-1.861666667,4.556292,,,,,
9.34,-1.556666667,3.333700267,,,,,
8.12,-1.353333333,2.396293547,,,,,
0,0,1.917034837,,,,,
0,0,1.53362787,,,,,
0,0,1.226902296,,,,,
0,0,0.981521837,,,,,
0,0,0.785217469,,,,,
0,0,0.628173976,,,,,
-7.67,1.278333333,0.758205847,,,,,
-10.48,1.746666667,0.955898011,,,,,
-10.24,1.706666667,1.106051742,,,,,
-7.98,1.33,1.150841394,,,,,
0,0,0.920673115,,,,,
0,0,0.736538492,,,,,
0,0,0.589230794,,,,,
0,0,0.471384635,,,,,
0,0,0.377107708,,,,,
0,0,0.301686166,,,,,
0,0,0.241348933,,,,,
0,0,0.193079146,,,,,
0,0,0.154463317,,,,,
0,0,0.123570654,,,,,
0,0,0.098856523,,,,,
0,0,0.079085218,,,,,
0,0,0.063268175,,,,,
0,0,0.05061454,,,,,
0,0,0.040491632,,,,,
0,0,0.032393305,,,,,
0,0,0.025914644,,,,,
0,0,0.020731715,,,,,
0,0,0.016585372,,,,,
0,0,0.013268298,,,,,
0,0,0.010614638,,,,,
0,0,0.008491711,,,,,
0,0,0.006793369,,,,,
0,0,0.005434695,,,,,
0,0,0.004347756,,,,,
0,0,0.003478205,,,,,
0,0,0.002782564,,,,,
0,0,0.002226051,,,,,
0,0,0.001780841,,,,,
0,0,0.001424673,,,,,
0,0,0.001139738,,,,,
0,0,0.00091179,,,,,
0,0,0.000729432,,,,,
0,0,0.000583546,,,,,
0,0,0.000466837,,,,,
0,0,0.000373469,,,,,
0,0,0.000298776,,,,,
0,0,0.00023902,,,,,
0,0,0.000191216,,,,,
0,0,0.000152973,,,,,
0,0,0.000122378,,,,,
0,0,9.79028E-05,,,,,
0,0,7.83222E-05,,,,,
0,0,6.26578E-05,,,,,
0,0,5.01262E-05,,,,,
0,0,4.0101E-05,,,,,
0,0,3.20808E-05,,,,,
0,0,2.56646E-05,,,,,
0,0,2.05317E-05,,,,,
0,0,1.64254E-05,,,,,
0,0,1.31403E-05,,,,,
0,0,1.05122E-05,,,,,
0,0,8.40978E-06,,,,,
0,0,6.72783E-06,,,,,
0,0,5.38226E-06,,,,,
0,0,4.30581E-06,,,,,
0,0,3.44465E-06,,,,,
0,0,2.75572E-06,,,,,
0,0,2.20457E-06,,,,,
0,0,1.76366E-06,,,,,
0,0,1.41093E-06,,,,,
0,0,1.12874E-06,,,,,
0,0,9.02994E-07,,,,,
0,0,7.22395E-07,,,,,
0,0,5.77916E-07,,,,,
0,0,4.62333E-07,,,,,
0,0,3.69866E-07,,,,,
0,0,2.95893E-07,,,,,
0,0,2.36714E-07,,,,,
0,0,1.89371E-07,,,,,
0,0,1.51497E-07,,,,,
0,0,1.21198E-07,,,,,
0,0,9.69582E-08,,,,,
0,0,7.75666E-08,,,,,
0,0,6.20532E-08,,,,,
0,0,4.96426E-08,,,,,
0,0,3.97141E-08,,,,,
0,0,3.17713E-08,,,,,
0,0,2.5417E-08,,,,,
0,0,2.03336E-08,,,,,
0,0,1.62669E-08,,,,,
0,0,1.30135E-08,,,,,
0,0,1.04108E-08,,,,,
0,0,8.32865E-09,,,,,
0,0,6.66292E-09,,,,,
0,0,5.33033E-09,,,,,
0,0,4.26427E-09,,,,,
0,0,3.41141E-09,,,,,
0,0,2.72913E-09,,,,,
0,0,2.1833E-09,,,,,
0,0,1.74664E-09,,,,,
0,0,1.39731E-09,,,,,
0,0,1.11785E-09,,,,,
0,0,8.94282E-10,,,,,
0,0,7.15425E-10,,,,,
0,0,5.7234E-10,,,,,
0,0,4.57872E-10,,,,,
0,0,3.66298E-10,,,,,
0,0,2.93038E-10,,,,,
0,0,2.34431E-10,,,,,
0,0,1.87544E-10,,,,,
0,0,1.50036E-10,,,,,
0,0,1.20028E-10,,,,,
0,0,9.60227E-11,,,,,
9.46,-1.576666667,-0.315333333,,,,,
10.62,-1.77,-0.606266667,,,,,
10.01,-1.668333333,-0.81868,,,,,
9.52,-1.586666667,-0.972277333,,,,,
13.73,-2.288333333,-1.235488533,,,,,
18,-3,-1.588390827,,,,,
23,-3.833333333,-2.037379328,,,,,
27.26,-4.543333333,-2.538570129,,,,,
31.17,-5.195,-3.069856103,,,,,
34.58,-5.763333333,-3.608551549,,,,,
37.69,-6.281666667,-4.143174573,,,,,
40.01,-6.668333333,-4.648206325,,,,,
40.74,-6.79,-5.07656506,,,,,
41.17,-6.861666667,-5.433585381,,,,,
39.76,-6.626666667,-5.672201638,,,,,
39.64,-6.606666667,-5.859094644,,,,,
40.74,-6.79,-6.045275715,,,,,
43.85,-7.308333333,-6.297887239,,,,,
47.93,-7.988333333,-6.635976458,,,,,
52.33,-8.721666667,-7.0531145,,,,,
57.08,-9.513333333,-7.545158266,,,,,
61.04,-10.17333333,-8.07079328,,,,,
63.24,-10.54,-8.564634624,,,,,
64.58,-10.76333333,-9.004374366,,,,,
64.03,-10.67166667,-9.337832826,,,,,
63.54,-10.59,-9.588266261,,,,,
61.72,-10.28666667,-9.727946342,,,,,
58.54,-9.756666667,-9.733690407,,,,,
55.37,-9.228333333,-9.632618992,,,,,
52.63,-8.771666667,-9.460428527,,,,,
50.43,-8.405,-9.249342822,,,,,
48.42,-8.07,-9.013474257,,,,,
46.84,-7.806666667,-8.772112739,,,,,
46.35,-7.725,-8.562690191,,,,,
45.74,-7.623333333,-8.37481882,,,,,
45.8,-7.633333333,-8.226521722,,,,,
47.02,-7.836666667,-8.148550711,,,,,
47.87,-7.978333333,-8.114507236,,,,,
49.28,-8.213333333,-8.134272455,,,,,
51.17,-8.528333333,-8.213084631,,,,,
52.69,-8.781666667,-8.326801038,,,,,
52.75,-8.791666667,-8.419774164,,,,,
52.2,-8.7,-8.475819331,,,,,
50.07,-8.345,-8.449655465,,,,,
47.69,-7.948333333,-8.349391039,,,,,
44.89,-7.481666667,-8.175846164,,,,,
42.14,-7.023333333,-7.945343598,,,,,
39.4,-6.566666667,-7.669608212,,,,,
35.92,-5.986666667,-7.333019903,,,,,
33.48,-5.58,-6.982415922,,,,,
30.56,-5.093333333,-6.604599404,,,,,
27.26,-4.543333333,-6.19234619,,,,,
23.73,-3.955,-5.744876952,,,,,
20.19,-3.365,-5.268901562,,,,,
15.92,-2.653333333,-4.745787916,,,,,
11.84,-1.973333333,-4.191296999,,,,,
7.02,-1.17,-3.5870376,,,,,
0,0,-2.86963008,,,,,
0,0,-2.295704064,,,,,
0,0,-1.836563251,,,,,
0,0,-1.469250601,,,,,
0,0,-1.175400481,,,,,
0,0,-0.940320385,,,,,
0,0,-0.752256308,,,,,
0,0,-0.601805046,,,,,
0,0,-0.481444037,,,,,
0,0,-0.385155229,,,,,
0,0,-0.308124184,,,,,
0,0,-0.246499347,,,,,
0,0,-0.197199478,,,,,
0,0,-0.157759582,,,,,
0,0,-0.126207666,,,,,
